Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
581.079	5	257	29	LastDelay	0.0787137	78713.7	1	3
581.079	5	257	29	FullDelay	82.6787	8.26787e+07	10	3
581.087	1	257	16	LastDelay	0.0872771	87277.1	1	3
581.087	1	257	16	FullDelay	57.9873	5.79873e+07	9	3
581.087	4	257	16	LastDelay	2.78728	2.78728e+06	1	3
581.087	4	257	16	FullDelay	4.88728	4.88728e+06	2	3
581.124	9	257	5	LastDelay	0.0239545	23954.5	1	6
581.124	9	257	5	FullDelay	5.82395	5.82395e+06	2	6
581.129	11	257	42	LastDelay	0.029276	29276	1	6
581.129	11	257	42	FullDelay	0.029276	29276	1	6
581.14	2	257	19	LastDelay	0.139781	139781	1	5
581.14	2	257	19	FullDelay	37.7398	3.77398e+07	6	5
581.144	3	257	1	LastDelay	0.0437799	43779.9	1	4
581.144	3	257	1	FullDelay	4.74378	4.74378e+06	3	4
581.157	6	257	9	LastDelay	0.156789	156789	1	5
581.157	6	257	9	FullDelay	6.05679	6.05679e+06	2	5
581.157	7	257	9	LastDelay	3.35679	3.35679e+06	1	5
581.157	7	257	9	FullDelay	3.35679	3.35679e+06	1	5
581.157	2	257	9	LastDelay	2.05679	2.05679e+06	1	5
581.157	2	257	9	FullDelay	2.05679	2.05679e+06	1	5
581.157	10	257	9	LastDelay	3.15679	3.15679e+06	1	5
581.157	10	257	9	FullDelay	7.65679	7.65679e+06	4	5
581.163	1	257	18	LastDelay	0.0634729	63472.9	1	3
581.163	1	257	18	FullDelay	90.9635	9.09635e+07	11	3
581.165	8	257	85	LastDelay	2.46529	2.46529e+06	1	5
581.165	8	257	85	FullDelay	101.665	1.01665e+08	10	5
581.165	7	257	85	LastDelay	0.165285	165285	1	5
581.165	7	257	85	FullDelay	66.0653	6.60653e+07	6	5
581.165	2	257	85	LastDelay	0.465285	465285	1	5
581.165	2	257	85	FullDelay	0.465285	465285	1	5
581.172	1	257	37	LastDelay	3.97197	3.97197e+06	1	3
581.172	1	257	37	FullDelay	87.572	8.7572e+07	13	3
581.172	0	257	37	LastDelay	0.0719689	71968.9	1	3
581.172	0	257	37	FullDelay	36.172	3.6172e+07	5	3
581.18	4	257	30	LastDelay	1.68046	1.68046e+06	1	3
